flow_id,alpha_k*pi/4,alpha_prime_k*pi/4,r,bprime,b,count,prob
1,"(-3, 3)","(1, -1)","(1, 1)","(1, 0)","(0, 1)",641,0.03205
1,"(-3, 3)","(1, -1)","(1, 1)","(1, 1)","(0, 0)",99,0.00495
1,"(-3, 3)","(1, 3)","(1, 0)","(0, 0)","(1, 0)",583,0.02915
1,"(-3, 3)","(1, 3)","(1, 0)","(0, 1)","(1, 1)",3729,0.18645
1,"(-3, 3)","(1, 3)","(1, 0)","(1, 0)","(0, 0)",115,0.00575
1,"(-3, 3)","(1, 3)","(1, 0)","(1, 1)","(0, 1)",572,0.0286
1,"(-1, -3)","(-1, -3)","(0, 0)","(0, 0)","(0, 0)",628,0.0314
1,"(-1, -3)","(-1, -3)","(0, 0)","(0, 1)","(0, 1)",3612,0.1806
1,"(-1, -3)","(-1, -3)","(0, 0)","(1, 0)","(1, 0)",108,0.0054
1,"(-1, -3)","(-1, -3)","(0, 0)","(1, 1)","(1, 1)",637,0.03185
1,"(-1, -3)","(-1, 1)","(0, 1)","(0, 0)","(0, 1)",3588,0.1794
1,"(-1, -3)","(-1, 1)","(0, 1)","(0, 1)","(0, 0)",604,0.0302
1,"(-1, -3)","(-1, 1)","(0, 1)","(1, 0)","(1, 1)",617,0.03085
1,"(-1, -3)","(-1, 1)","(0, 1)","(1, 1)","(1, 0)",114,0.0057
1,"(-1, -3)","(3, -3)","(1, 0)","(0, 0)","(1, 0)",113,0.00565
1,"(-1, -3)","(3, -3)","(1, 0)","(0, 1)","(1, 1)",612,0.0306
1,"(-1, -3)","(3, -3)","(1, 0)","(1, 0)","(0, 0)",632,0.0316
1,"(-1, -3)","(3, -3)","(1, 0)","(1, 1)","(0, 1)",3711,0.18555
1,"(-1, -3)","(3, 1)","(1, 1)","(0, 0)","(1, 1)",641,0.03205
1,"(-1, -3)","(3, 1)","(1, 1)","(0, 1)","(1, 0)",104,0.0052
1,"(-1, -3)","(3, 1)","(1, 1)","(1, 0)","(0, 1)",3642,0.1821
1,"(-1, -3)","(3, 1)","(1, 1)","(1, 1)","(0, 0)",637,0.03185
1,"(-1, -1)","(-1, -1)","(0, 0)","(0, 0)","(0, 0)",3612,0.1806
1,"(-1, -1)","(-1, -1)","(0, 0)","(0, 1)","(0, 1)",601,0.03005
1,"(-1, -1)","(-1, -1)","(0, 0)","(1, 0)","(1, 0)",641,0.03205
1,"(-1, -1)","(-1, -1)","(0, 0)","(1, 1)","(1, 1)",102,0.0051
1,"(-1, -1)","(-1, 3)","(0, 1)","(0, 0)","(0, 1)",627,0.03135
1,"(-1, -1)","(-1, 3)","(0, 1)","(0, 1)","(0, 0)",3632,0.1816
1,"(-1, -1)","(-1, 3)","(0, 1)","(1, 0)","(1, 1)",119,0.00595
1,"(-1, -1)","(-1, 3)","(0, 1)","(1, 1)","(1, 0)",595,0.02975
1,"(-1, -1)","(3, -1)","(1, 0)","(0, 0)","(1, 0)",617,0.03085
1,"(-1, -1)","(3, -1)","(1, 0)","(0, 1)","(1, 1)",108,0.0054
1,"(-1, -1)","(3, -1)","(1, 0)","(1, 0)","(0, 0)",3553,0.17765
1,"(-1, -1)","(3, -1)","(1, 0)","(1, 1)","(0, 1)",609,0.03045
1,"(-1, -1)","(3, 3)","(1, 1)","(0, 0)","(1, 1)",110,0.0055
1,"(-1, -1)","(3, 3)","(1, 1)","(0, 1)","(1, 0)",672,0.0336
1,"(-1, -1)","(3, 3)","(1, 1)","(1, 0)","(0, 1)",682,0.0341
1,"(-1, -1)","(3, 3)","(1, 1)","(1, 1)","(0, 0)",3720,0.186
1,"(-1, 1)","(-1, -3)","(0, 1)","(0, 0)","(0, 1)",622,0.0311
1,"(-1, 1)","(-1, -3)","(0, 1)","(0, 1)","(0, 0)",3632,0.1816
1,"(-1, 1)","(-1, -3)","(0, 1)","(1, 0)","(1, 1)",99,0.00495
1,"(-1, 1)","(-1, -3)","(0, 1)","(1, 1)","(1, 0)",620,0.031
1,"(-1, 1)","(-1, 1)","(0, 0)","(0, 0)","(0, 0)",3658,0.1829
1,"(-1, 1)","(-1, 1)","(0, 0)","(0, 1)","(0, 1)",604,0.0302
1,"(-1, 1)","(-1, 1)","(0, 0)","(1, 0)","(1, 0)",655,0.03275
1,"(-1, 1)","(-1, 1)","(0, 0)","(1, 1)","(1, 1)",95,0.00475
1,"(-1, 1)","(3, -3)","(1, 1)","(0, 0)","(1, 1)",118,0.0059
1,"(-1, 1)","(3, -3)","(1, 1)","(0, 1)","(1, 0)",595,0.02975
1,"(-1, 1)","(3, -3)","(1, 1)","(1, 0)","(0, 1)",619,0.03095
1,"(-1, 1)","(3, -3)","(1, 1)","(1, 1)","(0, 0)",3668,0.1834
1,"(-1, 1)","(3, 1)","(1, 0)","(0, 0)","(1, 0)",648,0.0324
1,"(-1, 1)","(3, 1)","(1, 0)","(0, 1)","(1, 1)",114,0.0057
1,"(-1, 1)","(3, 1)","(1, 0)","(1, 0)","(0, 0)",3574,0.1787
1,"(-1, 1)","(3, 1)","(1, 0)","(1, 1)","(0, 1)",679,0.03395
1,"(-1, 3)","(-1, -1)","(0, 1)","(0, 0)","(0, 1)",3720,0.186
1,"(-1, 3)","(-1, -1)","(0, 1)","(0, 1)","(0, 0)",616,0.0308
1,"(-1, 3)","(-1, -1)","(0, 1)","(1, 0)","(1, 1)",640,0.032
1,"(-1, 3)","(-1, -1)","(0, 1)","(1, 1)","(1, 0)",110,0.0055
1,"(-1, 3)","(-1, 3)","(0, 0)","(0, 0)","(0, 0)",656,0.0328
1,"(-1, 3)","(-1, 3)","(0, 0)","(0, 1)","(0, 1)",3670,0.1835
1,"(-1, 3)","(-1, 3)","(0, 0)","(1, 0)","(1, 0)",98,0.0049
1,"(-1, 3)","(-1, 3)","(0, 0)","(1, 1)","(1, 1)",623,0.03115
1,"(-1, 3)","(3, -1)","(1, 1)","(0, 0)","(1, 1)",619,0.03095
1,"(-1, 3)","(3, -1)","(1, 1)","(0, 1)","(1, 0)",121,0.00605
1,"(-1, 3)","(3, -1)","(1, 1)","(1, 0)","(0, 1)",3546,0.1773
1,"(-1, 3)","(3, -1)","(1, 1)","(1, 1)","(0, 0)",636,0.0318
1,"(-1, 3)","(3, 3)","(1, 0)","(0, 0)","(1, 0)",92,0.0046
1,"(-1, 3)","(3, 3)","(1, 0)","(0, 1)","(1, 1)",576,0.0288
1,"(-1, 3)","(3, 3)","(1, 0)","(1, 0)","(0, 0)",660,0.033
1,"(-1, 3)","(3, 3)","(1, 0)","(1, 1)","(0, 1)",3617,0.18085
