flow_id,alpha_k*pi/4,alpha_prime_k*pi/4,r,bprime,b,count,prob
2,"(-3, 1)","(1, -3)","(1, 1)","(1, 1)","(0, 0)",628,0.0314
2,"(-3, 1)","(1, -1)","(1, 0)","(0, 0)","(1, 0)",3687,0.18435
2,"(-3, 1)","(1, -1)","(1, 0)","(0, 1)","(1, 1)",653,0.03265
2,"(-3, 1)","(1, 1)","(1, 0)","(1, 0)","(0, 0)",620,0.031
2,"(-3, 1)","(1, 1)","(1, 0)","(1, 1)","(0, 1)",114,0.0057
2,"(-3, 1)","(1, 3)","(1, 1)","(0, 0)","(1, 1)",624,0.0312
2,"(-3, 1)","(1, 3)","(1, 1)","(0, 1)","(1, 0)",3651,0.18255
2,"(-3, 3)","(-3, -3)","(0, 0)","(1, 0)","(1, 0)",646,0.0323
2,"(-3, 3)","(-3, -3)","(0, 0)","(1, 1)","(1, 1)",3651,0.18255
2,"(-3, 3)","(-3, -1)","(0, 1)","(0, 0)","(0, 1)",633,0.03165
2,"(-3, 3)","(-3, -1)","(0, 1)","(0, 1)","(0, 0)",103,0.00515
2,"(-3, 3)","(-3, 1)","(0, 1)","(1, 0)","(1, 1)",3623,0.18115
2,"(-3, 3)","(-3, 1)","(0, 1)","(1, 1)","(1, 0)",671,0.03355
2,"(-3, 3)","(-3, 3)","(0, 0)","(0, 0)","(0, 0)",105,0.00525
2,"(-3, 3)","(-3, 3)","(0, 0)","(0, 1)","(0, 1)",622,0.0311
2,"(-3, 3)","(1, -3)","(1, 0)","(0, 0)","(1, 0)",602,0.0301
2,"(-3, 3)","(1, -3)","(1, 0)","(0, 1)","(1, 1)",3633,0.18165
2,"(-3, 3)","(1, -1)","(1, 1)","(1, 0)","(0, 1)",672,0.0336
2,"(-3, 3)","(1, -1)","(1, 1)","(1, 1)","(0, 0)",101,0.00505
2,"(-3, 3)","(1, 1)","(1, 1)","(0, 0)","(1, 1)",3570,0.1785
2,"(-3, 3)","(1, 1)","(1, 1)","(0, 1)","(1, 0)",657,0.03285
2,"(-3, 3)","(1, 3)","(1, 0)","(1, 0)","(0, 0)",90,0.0045
2,"(-3, 3)","(1, 3)","(1, 0)","(1, 1)","(0, 1)",621,0.03105
2,"(-1, -3)","(-1, -3)","(0, 0)","(0, 0)","(0, 0)",660,0.033
2,"(-1, -3)","(-1, -3)","(0, 0)","(0, 1)","(0, 1)",3679,0.18395
2,"(-1, -3)","(-1, -1)","(0, 1)","(1, 0)","(1, 1)",667,0.03335
2,"(-1, -3)","(-1, -1)","(0, 1)","(1, 1)","(1, 0)",125,0.00625
2,"(-1, -3)","(-1, 1)","(0, 1)","(0, 0)","(0, 1)",3602,0.1801
2,"(-1, -3)","(-1, 1)","(0, 1)","(0, 1)","(0, 0)",630,0.0315
2,"(-1, -3)","(-1, 3)","(0, 0)","(1, 0)","(1, 0)",119,0.00595
2,"(-1, -3)","(-1, 3)","(0, 0)","(1, 1)","(1, 1)",601,0.03005
2,"(-1, -3)","(3, -3)","(1, 0)","(1, 0)","(0, 0)",605,0.03025
2,"(-1, -3)","(3, -3)","(1, 0)","(1, 1)","(0, 1)",3665,0.18325
2,"(-1, -3)","(3, -1)","(1, 1)","(0, 0)","(1, 1)",614,0.0307
2,"(-1, -3)","(3, -1)","(1, 1)","(0, 1)","(1, 0)",109,0.00545
2,"(-1, -3)","(3, 1)","(1, 1)","(1, 0)","(0, 1)",3612,0.1806
2,"(-1, -3)","(3, 1)","(1, 1)","(1, 1)","(0, 0)",608,0.0304
2,"(-1, -3)","(3, 3)","(1, 0)","(0, 0)","(1, 0)",101,0.00505
2,"(-1, -3)","(3, 3)","(1, 0)","(0, 1)","(1, 1)",603,0.03015
2,"(-1, -1)","(-1, -3)","(0, 1)","(1, 0)","(1, 1)",91,0.00455
2,"(-1, -1)","(-1, -3)","(0, 1)","(1, 1)","(1, 0)",669,0.03345
2,"(-1, -1)","(-1, -1)","(0, 0)","(0, 0)","(0, 0)",3516,0.1758
2,"(-1, -1)","(-1, -1)","(0, 0)","(0, 1)","(0, 1)",616,0.0308
2,"(-1, -1)","(-1, 1)","(0, 0)","(1, 0)","(1, 0)",658,0.0329
2,"(-1, -1)","(-1, 1)","(0, 0)","(1, 1)","(1, 1)",115,0.00575
2,"(-1, -1)","(-1, 3)","(0, 1)","(0, 0)","(0, 1)",625,0.03125
2,"(-1, -1)","(-1, 3)","(0, 1)","(0, 1)","(0, 0)",3623,0.18115
2,"(-1, -1)","(3, -3)","(1, 1)","(0, 0)","(1, 1)",106,0.0053
2,"(-1, -1)","(3, -3)","(1, 1)","(0, 1)","(1, 0)",613,0.03065
2,"(-1, -1)","(3, -1)","(1, 0)","(1, 0)","(0, 0)",3663,0.18315
2,"(-1, -1)","(3, -1)","(1, 0)","(1, 1)","(0, 1)",631,0.03155
2,"(-1, -1)","(3, 1)","(1, 0)","(0, 0)","(1, 0)",662,0.0331
2,"(-1, -1)","(3, 1)","(1, 0)","(0, 1)","(1, 1)",109,0.00545
2,"(-1, -1)","(3, 3)","(1, 1)","(1, 0)","(0, 1)",670,0.0335
2,"(-1, -1)","(3, 3)","(1, 1)","(1, 1)","(0, 0)",3633,0.18165
2,"(-1, 1)","(-1, -3)","(0, 1)","(0, 0)","(0, 1)",629,0.03145
2,"(-1, 1)","(-1, -3)","(0, 1)","(0, 1)","(0, 0)",3633,0.18165
2,"(-1, 1)","(-1, -1)","(0, 0)","(1, 0)","(1, 0)",659,0.03295
2,"(-1, 1)","(-1, -1)","(0, 0)","(1, 1)","(1, 1)",112,0.0056
2,"(-1, 1)","(-1, 1)","(0, 0)","(0, 0)","(0, 0)",3557,0.17785
2,"(-1, 1)","(-1, 1)","(0, 0)","(0, 1)","(0, 1)",659,0.03295
2,"(-1, 1)","(-1, 3)","(0, 1)","(1, 0)","(1, 1)",110,0.0055
2,"(-1, 1)","(-1, 3)","(0, 1)","(1, 1)","(1, 0)",679,0.03395
2,"(-1, 1)","(3, -3)","(1, 1)","(1, 0)","(0, 1)",656,0.0328
2,"(-1, 1)","(3, -3)","(1, 1)","(1, 1)","(0, 0)",3663,0.18315
2,"(-1, 1)","(3, -1)","(1, 0)","(0, 0)","(1, 0)",601,0.03005
2,"(-1, 1)","(3, -1)","(1, 0)","(0, 1)","(1, 1)",112,0.0056
2,"(-1, 1)","(3, 1)","(1, 0)","(1, 0)","(0, 0)",3599,0.17995
2,"(-1, 1)","(3, 1)","(1, 0)","(1, 1)","(0, 1)",592,0.0296
2,"(-1, 1)","(3, 3)","(1, 1)","(0, 0)","(1, 1)",97,0.00485
2,"(-1, 1)","(3, 3)","(1, 1)","(0, 1)","(1, 0)",642,0.0321
2,"(-1, 3)","(-1, -3)","(0, 0)","(1, 0)","(1, 0)",101,0.00505
2,"(-1, 3)","(-1, -3)","(0, 0)","(1, 1)","(1, 1)",616,0.0308
2,"(-1, 3)","(-1, -1)","(0, 1)","(0, 0)","(0, 1)",3662,0.1831
2,"(-1, 3)","(-1, -1)","(0, 1)","(0, 1)","(0, 0)",605,0.03025
2,"(-1, 3)","(-1, 1)","(0, 1)","(1, 0)","(1, 1)",625,0.03125
2,"(-1, 3)","(-1, 1)","(0, 1)","(1, 1)","(1, 0)",121,0.00605
2,"(-1, 3)","(-1, 3)","(0, 0)","(0, 0)","(0, 0)",615,0.03075
2,"(-1, 3)","(-1, 3)","(0, 0)","(0, 1)","(0, 1)",3675,0.18375
2,"(-1, 3)","(3, -3)","(1, 0)","(0, 0)","(1, 0)",109,0.00545
2,"(-1, 3)","(3, -3)","(1, 0)","(0, 1)","(1, 1)",590,0.0295
2,"(-1, 3)","(3, -1)","(1, 1)","(1, 0)","(0, 1)",3603,0.18015
2,"(-1, 3)","(3, -1)","(1, 1)","(1, 1)","(0, 0)",633,0.03165
2,"(-1, 3)","(3, 1)","(1, 1)","(0, 0)","(1, 1)",650,0.0325
2,"(-1, 3)","(3, 1)","(1, 1)","(0, 1)","(1, 0)",108,0.0054
2,"(-1, 3)","(3, 3)","(1, 0)","(1, 0)","(0, 0)",572,0.0286
2,"(-1, 3)","(3, 3)","(1, 0)","(1, 1)","(0, 1)",3715,0.18575
2,"(1, -3)","(-3, -3)","(1, 0)","(1, 0)","(0, 0)",642,0.0321
2,"(1, -3)","(-3, -3)","(1, 0)","(1, 1)","(0, 1)",3670,0.1835
2,"(1, -3)","(-3, -1)","(1, 1)","(0, 0)","(1, 1)",606,0.0303
2,"(1, -3)","(-3, -1)","(1, 1)","(0, 1)","(1, 0)",124,0.0062
2,"(1, -3)","(-3, 1)","(1, 1)","(1, 0)","(0, 1)",3548,0.1774
2,"(1, -3)","(-3, 1)","(1, 1)","(1, 1)","(0, 0)",601,0.03005
2,"(1, -3)","(-3, 3)","(1, 0)","(0, 0)","(1, 0)",84,0.0042
2,"(1, -3)","(-3, 3)","(1, 0)","(0, 1)","(1, 1)",657,0.03285
2,"(1, -3)","(1, -3)","(0, 0)","(0, 0)","(0, 0)",638,0.0319
2,"(1, -3)","(1, -3)","(0, 0)","(0, 1)","(0, 1)",3636,0.1818
2,"(1, -3)","(1, -1)","(0, 1)","(1, 0)","(1, 1)",628,0.0314
2,"(1, -3)","(1, -1)","(0, 1)","(1, 1)","(1, 0)",115,0.00575
2,"(1, -3)","(1, 1)","(0, 1)","(0, 0)","(0, 1)",3690,0.1845
2,"(1, -3)","(1, 1)","(0, 1)","(0, 1)","(0, 0)",647,0.03235
2,"(1, -3)","(1, 3)","(0, 0)","(1, 0)","(1, 0)",94,0.0047
2,"(1, -3)","(1, 3)","(0, 0)","(1, 1)","(1, 1)",620,0.031
2,"(1, -1)","(-3, -3)","(1, 1)","(0, 0)","(1, 1)",95,0.00475
2,"(1, -1)","(-3, -3)","(1, 1)","(0, 1)","(1, 0)",629,0.03145
2,"(1, -1)","(-3, -1)","(1, 0)","(1, 0)","(0, 0)",3643,0.18215
2,"(1, -1)","(-3, -1)","(1, 0)","(1, 1)","(0, 1)",610,0.0305
2,"(1, -1)","(-3, 1)","(1, 0)","(0, 0)","(1, 0)",630,0.0315
2,"(1, -1)","(-3, 1)","(1, 0)","(0, 1)","(1, 1)",94,0.0047
2,"(1, -1)","(-3, 3)","(1, 1)","(1, 0)","(0, 1)",632,0.0316
2,"(1, -1)","(-3, 3)","(1, 1)","(1, 1)","(0, 0)",3624,0.1812
2,"(1, -1)","(1, -3)","(0, 1)","(1, 0)","(1, 1)",100,0.005
2,"(1, -1)","(1, -3)","(0, 1)","(1, 1)","(1, 0)",625,0.03125
2,"(1, -1)","(1, -1)","(0, 0)","(0, 0)","(0, 0)",3663,0.18315
2,"(1, -1)","(1, -1)","(0, 0)","(0, 1)","(0, 1)",635,0.03175
2,"(1, -1)","(1, 1)","(0, 0)","(1, 0)","(1, 0)",625,0.03125
2,"(1, -1)","(1, 1)","(0, 0)","(1, 1)","(1, 1)",102,0.0051
2,"(1, -1)","(1, 3)","(0, 1)","(0, 0)","(0, 1)",632,0.0316
2,"(1, -1)","(1, 3)","(0, 1)","(0, 1)","(0, 0)",3661,0.18305
2,"(1, 1)","(-3, -3)","(1, 1)","(1, 0)","(0, 1)",590,0.0295
2,"(1, 1)","(-3, -3)","(1, 1)","(1, 1)","(0, 0)",3639,0.18195
2,"(1, 1)","(-3, -1)","(1, 0)","(0, 0)","(1, 0)",636,0.0318
2,"(1, 1)","(-3, -1)","(1, 0)","(0, 1)","(1, 1)",123,0.00615
2,"(1, 1)","(-3, 1)","(1, 0)","(1, 0)","(0, 0)",3703,0.18515
2,"(1, 1)","(-3, 1)","(1, 0)","(1, 1)","(0, 1)",605,0.03025
2,"(1, 1)","(-3, 3)","(1, 1)","(0, 0)","(1, 1)",113,0.00565
2,"(1, 1)","(-3, 3)","(1, 1)","(0, 1)","(1, 0)",610,0.0305
2,"(1, 1)","(1, -3)","(0, 1)","(0, 0)","(0, 1)",612,0.0306
2,"(1, 1)","(1, -3)","(0, 1)","(0, 1)","(0, 0)",3571,0.17855
2,"(1, 1)","(1, -1)","(0, 0)","(1, 0)","(1, 0)",653,0.03265
2,"(1, 1)","(1, -1)","(0, 0)","(1, 1)","(1, 1)",112,0.0056
2,"(1, 1)","(1, 1)","(0, 0)","(0, 0)","(0, 0)",3700,0.185
2,"(1, 1)","(1, 1)","(0, 0)","(0, 1)","(0, 1)",600,0.03
2,"(1, 1)","(1, 3)","(0, 1)","(1, 0)","(1, 1)",119,0.00595
2,"(1, 1)","(1, 3)","(0, 1)","(1, 1)","(1, 0)",614,0.0307
2,"(1, 3)","(-3, -3)","(1, 0)","(0, 0)","(1, 0)",114,0.0057
2,"(1, 3)","(-3, -3)","(1, 0)","(0, 1)","(1, 1)",646,0.0323
2,"(1, 3)","(-3, -1)","(1, 1)","(1, 0)","(0, 1)",3585,0.17925
2,"(1, 3)","(-3, -1)","(1, 1)","(1, 1)","(0, 0)",652,0.0326
2,"(1, 3)","(-3, 1)","(1, 1)","(0, 0)","(1, 1)",611,0.03055
2,"(1, 3)","(-3, 1)","(1, 1)","(0, 1)","(1, 0)",94,0.0047
2,"(1, 3)","(-3, 3)","(1, 0)","(1, 0)","(0, 0)",640,0.032
2,"(1, 3)","(-3, 3)","(1, 0)","(1, 1)","(0, 1)",3648,0.1824
2,"(1, 3)","(1, -3)","(0, 0)","(1, 0)","(1, 0)",86,0.0043
2,"(1, 3)","(1, -3)","(0, 0)","(1, 1)","(1, 1)",636,0.0318
2,"(1, 3)","(1, -1)","(0, 1)","(0, 0)","(0, 1)",3655,0.18275
2,"(1, 3)","(1, -1)","(0, 1)","(0, 1)","(0, 0)",654,0.0327
2,"(1, 3)","(1, 1)","(0, 1)","(1, 0)","(1, 1)",640,0.032
2,"(1, 3)","(1, 1)","(0, 1)","(1, 1)","(1, 0)",117,0.00585
2,"(1, 3)","(1, 3)","(0, 0)","(0, 0)","(0, 0)",657,0.03285
2,"(1, 3)","(1, 3)","(0, 0)","(0, 1)","(0, 1)",3565,0.17825
2,"(3, -3)","(-1, -3)","(1, 0)","(1, 0)","(0, 0)",98,0.0049
2,"(3, -3)","(-1, -3)","(1, 0)","(1, 1)","(0, 1)",567,0.02835
2,"(3, -3)","(-1, -1)","(1, 1)","(0, 0)","(1, 1)",3716,0.1858
2,"(3, -3)","(-1, -1)","(1, 1)","(0, 1)","(1, 0)",658,0.0329
2,"(3, -3)","(-1, 1)","(1, 1)","(1, 0)","(0, 1)",650,0.0325
2,"(3, -3)","(-1, 1)","(1, 1)","(1, 1)","(0, 0)",88,0.0044
2,"(3, -3)","(-1, 3)","(1, 0)","(0, 0)","(1, 0)",591,0.02955
2,"(3, -3)","(-1, 3)","(1, 0)","(0, 1)","(1, 1)",3578,0.1789
2,"(3, -3)","(3, -3)","(0, 0)","(0, 0)","(0, 0)",102,0.0051
2,"(3, -3)","(3, -3)","(0, 0)","(0, 1)","(0, 1)",563,0.02815
2,"(3, -3)","(3, -1)","(0, 1)","(1, 0)","(1, 1)",3693,0.18465
2,"(3, -3)","(3, -1)","(0, 1)","(1, 1)","(1, 0)",649,0.03245
2,"(3, -3)","(3, 1)","(0, 1)","(0, 0)","(0, 1)",605,0.03025
2,"(3, -3)","(3, 1)","(0, 1)","(0, 1)","(0, 0)",110,0.0055
2,"(3, -3)","(3, 3)","(0, 0)","(1, 0)","(1, 0)",642,0.0321
2,"(3, -3)","(3, 3)","(0, 0)","(1, 1)","(1, 1)",3690,0.1845
2,"(3, -1)","(-1, -3)","(1, 1)","(0, 0)","(1, 1)",632,0.0316
2,"(3, -1)","(-1, -3)","(1, 1)","(0, 1)","(1, 0)",3597,0.17985
2,"(3, -1)","(-1, -1)","(1, 0)","(1, 0)","(0, 0)",641,0.03205
2,"(3, -1)","(-1, -1)","(1, 0)","(1, 1)","(0, 1)",92,0.0046
2,"(3, -1)","(-1, 1)","(1, 0)","(0, 0)","(1, 0)",3697,0.18485
2,"(3, -1)","(-1, 1)","(1, 0)","(0, 1)","(1, 1)",606,0.0303
2,"(3, -1)","(-1, 3)","(1, 1)","(1, 0)","(0, 1)",120,0.006
2,"(3, -1)","(-1, 3)","(1, 1)","(1, 1)","(0, 0)",670,0.0335
2,"(3, -1)","(3, -3)","(0, 1)","(1, 0)","(1, 1)",614,0.0307
2,"(3, -1)","(3, -3)","(0, 1)","(1, 1)","(1, 0)",3716,0.1858
2,"(3, -1)","(3, -1)","(0, 0)","(0, 0)","(0, 0)",619,0.03095
2,"(3, -1)","(3, -1)","(0, 0)","(0, 1)","(0, 1)",109,0.00545
2,"(3, -1)","(3, 1)","(0, 0)","(1, 0)","(1, 0)",3559,0.17795
2,"(3, -1)","(3, 1)","(0, 0)","(1, 1)","(1, 1)",622,0.0311
2,"(3, -1)","(3, 3)","(0, 1)","(0, 0)","(0, 1)",103,0.00515
2,"(3, -1)","(3, 3)","(0, 1)","(0, 1)","(0, 0)",603,0.03015
2,"(3, 1)","(-1, -3)","(1, 1)","(1, 0)","(0, 1)",99,0.00495
2,"(3, 1)","(-1, -3)","(1, 1)","(1, 1)","(0, 0)",679,0.03395
2,"(3, 1)","(-1, -1)","(1, 0)","(0, 0)","(1, 0)",3657,0.18285
2,"(3, 1)","(-1, -1)","(1, 0)","(0, 1)","(1, 1)",637,0.03185
2,"(3, 1)","(-1, 1)","(1, 0)","(1, 0)","(0, 0)",627,0.03135
2,"(3, 1)","(-1, 1)","(1, 0)","(1, 1)","(0, 1)",103,0.00515
2,"(3, 1)","(-1, 3)","(1, 1)","(0, 0)","(1, 1)",608,0.0304
2,"(3, 1)","(-1, 3)","(1, 1)","(0, 1)","(1, 0)",3736,0.1868
2,"(3, 1)","(3, -3)","(0, 1)","(0, 0)","(0, 1)",128,0.0064
2,"(3, 1)","(3, -3)","(0, 1)","(0, 1)","(0, 0)",621,0.03105
2,"(3, 1)","(3, -1)","(0, 0)","(1, 0)","(1, 0)",3623,0.18115
2,"(3, 1)","(3, -1)","(0, 0)","(1, 1)","(1, 1)",632,0.0316
2,"(3, 1)","(3, 1)","(0, 0)","(0, 0)","(0, 0)",563,0.02815
2,"(3, 1)","(3, 1)","(0, 0)","(0, 1)","(0, 1)",109,0.00545
2,"(3, 1)","(3, 3)","(0, 1)","(1, 0)","(1, 1)",633,0.03165
2,"(3, 1)","(3, 3)","(0, 1)","(1, 1)","(1, 0)",3545,0.17725
2,"(3, 3)","(-1, -3)","(1, 0)","(0, 0)","(1, 0)",619,0.03095
2,"(3, 3)","(-1, -3)","(1, 0)","(0, 1)","(1, 1)",3705,0.18525
2,"(3, 3)","(-1, -1)","(1, 1)","(1, 0)","(0, 1)",581,0.02905
2,"(3, 3)","(-1, -1)","(1, 1)","(1, 1)","(0, 0)",119,0.00595
2,"(3, 3)","(-1, 1)","(1, 1)","(0, 0)","(1, 1)",3657,0.18285
2,"(3, 3)","(-1, 1)","(1, 1)","(0, 1)","(1, 0)",591,0.02955
2,"(3, 3)","(-1, 3)","(1, 0)","(1, 0)","(0, 0)",103,0.00515
2,"(3, 3)","(-1, 3)","(1, 0)","(1, 1)","(0, 1)",640,0.032
2,"(3, 3)","(3, -3)","(0, 0)","(1, 0)","(1, 0)",605,0.03025
2,"(3, 3)","(3, -3)","(0, 0)","(1, 1)","(1, 1)",3701,0.18505
2,"(3, 3)","(3, -1)","(0, 1)","(0, 0)","(0, 1)",633,0.03165
2,"(3, 3)","(3, -1)","(0, 1)","(0, 1)","(0, 0)",89,0.00445
2,"(3, 3)","(3, 1)","(0, 1)","(1, 0)","(1, 1)",3629,0.18145
2,"(3, 3)","(3, 1)","(0, 1)","(1, 1)","(1, 0)",619,0.03095
2,"(3, 3)","(3, 3)","(0, 0)","(0, 0)","(0, 0)",102,0.0051
2,"(3, 3)","(3, 3)","(0, 0)","(0, 1)","(0, 1)",607,0.03035
3,"(-3, -3)","(-3, -3)","(0, 0)","(0, 0)","(0, 0)",106,0.0053
3,"(-3, -3)","(-3, -3)","(0, 0)","(0, 1)","(0, 1)",683,0.03415
3,"(-3, -3)","(-3, -3)","(0, 1)","(1, 0)","(1, 1)",626,0.0313
3,"(-3, -3)","(-3, -3)","(0, 1)","(1, 1)","(1, 0)",3607,0.18035
3,"(-3, -3)","(-3, 1)","(0, 0)","(1, 0)","(1, 0)",3636,0.1818
3,"(-3, -3)","(-3, 1)","(0, 0)","(1, 1)","(1, 1)",575,0.02875
3,"(-3, -3)","(-3, 1)","(0, 1)","(0, 0)","(0, 1)",644,0.0322
3,"(-3, -3)","(-3, 1)","(0, 1)","(0, 1)","(0, 0)",108,0.0054
3,"(-3, -3)","(1, -3)","(1, 0)","(1, 0)","(0, 0)",105,0.00525
3,"(-3, -3)","(1, -3)","(1, 0)","(1, 1)","(0, 1)",605,0.03025
3,"(-3, -3)","(1, -3)","(1, 1)","(0, 0)","(1, 1)",602,0.0301
3,"(-3, -3)","(1, -3)","(1, 1)","(0, 1)","(1, 0)",3707,0.18535
3,"(-3, -3)","(1, 1)","(1, 0)","(0, 0)","(1, 0)",3711,0.18555
3,"(-3, -3)","(1, 1)","(1, 0)","(0, 1)","(1, 1)",576,0.0288
3,"(-3, -3)","(1, 1)","(1, 1)","(1, 0)","(0, 1)",613,0.03065
3,"(-3, -3)","(1, 1)","(1, 1)","(1, 1)","(0, 0)",96,0.0048
3,"(-3, -1)","(-3, -1)","(0, 0)","(0, 0)","(0, 0)",649,0.03245
3,"(-3, -1)","(-3, -1)","(0, 0)","(0, 1)","(0, 1)",98,0.0049
3,"(-3, -1)","(-3, -1)","(0, 1)","(1, 0)","(1, 1)",3682,0.1841
3,"(-3, -1)","(-3, -1)","(0, 1)","(1, 1)","(1, 0)",587,0.02935
3,"(-3, -1)","(-3, 3)","(0, 0)","(1, 0)","(1, 0)",620,0.031
3,"(-3, -1)","(-3, 3)","(0, 0)","(1, 1)","(1, 1)",3647,0.18235
3,"(-3, -1)","(-3, 3)","(0, 1)","(0, 0)","(0, 1)",117,0.00585
3,"(-3, -1)","(-3, 3)","(0, 1)","(0, 1)","(0, 0)",688,0.0344
3,"(-3, -1)","(1, -1)","(1, 0)","(1, 0)","(0, 0)",629,0.03145
3,"(-3, -1)","(1, -1)","(1, 0)","(1, 1)","(0, 1)",123,0.00615
3,"(-3, -1)","(1, -1)","(1, 1)","(0, 0)","(1, 1)",3605,0.18025
3,"(-3, -1)","(1, -1)","(1, 1)","(0, 1)","(1, 0)",616,0.0308
3,"(-3, -1)","(1, 3)","(1, 0)","(0, 0)","(1, 0)",624,0.0312
3,"(-3, -1)","(1, 3)","(1, 0)","(0, 1)","(1, 1)",3600,0.18
3,"(-3, -1)","(1, 3)","(1, 1)","(1, 0)","(0, 1)",113,0.00565
3,"(-3, -1)","(1, 3)","(1, 1)","(1, 1)","(0, 0)",602,0.0301
3,"(-3, 1)","(-3, -3)","(0, 0)","(1, 0)","(1, 0)",574,0.0287
3,"(-3, 1)","(-3, -3)","(0, 0)","(1, 1)","(1, 1)",3649,0.18245
3,"(-3, 1)","(-3, -3)","(0, 1)","(0, 0)","(0, 1)",93,0.00465
3,"(-3, 1)","(-3, -3)","(0, 1)","(0, 1)","(0, 0)",610,0.0305
3,"(-3, 1)","(-3, 1)","(0, 0)","(0, 0)","(0, 0)",688,0.0344
3,"(-3, 1)","(-3, 1)","(0, 0)","(0, 1)","(0, 1)",104,0.0052
3,"(-3, 1)","(-3, 1)","(0, 1)","(1, 0)","(1, 1)",3636,0.1818
3,"(-3, 1)","(-3, 1)","(0, 1)","(1, 1)","(1, 0)",616,0.0308
3,"(-3, 1)","(1, -3)","(1, 0)","(0, 0)","(1, 0)",609,0.03045
3,"(-3, 1)","(1, -3)","(1, 0)","(0, 1)","(1, 1)",3652,0.1826
3,"(-3, 1)","(1, -3)","(1, 1)","(1, 0)","(0, 1)",109,0.00545
3,"(-3, 1)","(1, -3)","(1, 1)","(1, 1)","(0, 0)",660,0.033
3,"(-3, 1)","(1, 1)","(1, 0)","(1, 0)","(0, 0)",582,0.0291
3,"(-3, 1)","(1, 1)","(1, 0)","(1, 1)","(0, 1)",125,0.00625
3,"(-3, 1)","(1, 1)","(1, 1)","(0, 0)","(1, 1)",3665,0.18325
3,"(-3, 1)","(1, 1)","(1, 1)","(0, 1)","(1, 0)",628,0.0314
3,"(-3, 3)","(-3, -1)","(0, 0)","(1, 0)","(1, 0)",3721,0.18605
3,"(-3, 3)","(-3, -1)","(0, 0)","(1, 1)","(1, 1)",596,0.0298
3,"(-3, 3)","(-3, -1)","(0, 1)","(0, 0)","(0, 1)",612,0.0306
3,"(-3, 3)","(-3, -1)","(0, 1)","(0, 1)","(0, 0)",87,0.00435
3,"(-3, 3)","(-3, 3)","(0, 0)","(0, 0)","(0, 0)",89,0.00445
3,"(-3, 3)","(-3, 3)","(0, 0)","(0, 1)","(0, 1)",583,0.02915
3,"(-3, 3)","(-3, 3)","(0, 1)","(1, 0)","(1, 1)",645,0.03225
3,"(-3, 3)","(-3, 3)","(0, 1)","(1, 1)","(1, 0)",3666,0.1833
3,"(-3, 3)","(1, -1)","(1, 0)","(0, 0)","(1, 0)",3767,0.18835
3,"(-3, 3)","(1, -1)","(1, 0)","(0, 1)","(1, 1)",663,0.03315
3,"(-3, 3)","(1, -1)","(1, 1)","(1, 0)","(0, 1)",622,0.0311
3,"(-3, 3)","(1, -1)","(1, 1)","(1, 1)","(0, 0)",106,0.0053
3,"(-3, 3)","(1, 3)","(1, 0)","(1, 0)","(0, 0)",104,0.0052
3,"(-3, 3)","(1, 3)","(1, 0)","(1, 1)","(0, 1)",570,0.0285
3,"(-3, 3)","(1, 3)","(1, 1)","(0, 0)","(1, 1)",588,0.0294
3,"(-3, 3)","(1, 3)","(1, 1)","(0, 1)","(1, 0)",3581,0.17905
3,"(-1, -3)","(-1, -3)","(0, 0)","(0, 0)","(0, 0)",656,0.0328
3,"(-1, -3)","(-1, -3)","(0, 0)","(0, 1)","(0, 1)",3722,0.1861
3,"(-1, -3)","(-1, -3)","(0, 1)","(1, 0)","(1, 1)",111,0.00555
3,"(-1, -3)","(-1, -3)","(0, 1)","(1, 1)","(1, 0)",630,0.0315
3,"(-1, -3)","(-1, 1)","(0, 0)","(1, 0)","(1, 0)",603,0.03015
3,"(-1, -3)","(-1, 1)","(0, 0)","(1, 1)","(1, 1)",85,0.00425
3,"(-1, -3)","(-1, 1)","(0, 1)","(0, 0)","(0, 1)",3648,0.1824
3,"(-1, -3)","(-1, 1)","(0, 1)","(0, 1)","(0, 0)",582,0.0291
3,"(-1, -3)","(3, -3)","(1, 0)","(1, 0)","(0, 0)",625,0.03125
3,"(-1, -3)","(3, -3)","(1, 0)","(1, 1)","(0, 1)",3606,0.1803
3,"(-1, -3)","(3, -3)","(1, 1)","(0, 0)","(1, 1)",114,0.0057
3,"(-1, -3)","(3, -3)","(1, 1)","(0, 1)","(1, 0)",635,0.03175
3,"(-1, -3)","(3, 1)","(1, 0)","(0, 0)","(1, 0)",586,0.0293
3,"(-1, -3)","(3, 1)","(1, 0)","(0, 1)","(1, 1)",93,0.00465
3,"(-1, -3)","(3, 1)","(1, 1)","(1, 0)","(0, 1)",3631,0.18155
3,"(-1, -3)","(3, 1)","(1, 1)","(1, 1)","(0, 0)",673,0.03365
3,"(-1, -1)","(-1, -1)","(0, 0)","(0, 0)","(0, 0)",3701,0.18505
3,"(-1, -1)","(-1, -1)","(0, 0)","(0, 1)","(0, 1)",629,0.03145
3,"(-1, -1)","(-1, -1)","(0, 1)","(1, 0)","(1, 1)",600,0.03
3,"(-1, -1)","(-1, -1)","(0, 1)","(1, 1)","(1, 0)",112,0.0056
3,"(-1, -1)","(-1, 3)","(0, 0)","(1, 0)","(1, 0)",118,0.0059
3,"(-1, -1)","(-1, 3)","(0, 0)","(1, 1)","(1, 1)",626,0.0313
